,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
0,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.518429918794682
1,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.596434713093407
2,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.403990075979044
3,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.819598268208338
4,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.819598268208338
5,HP,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,10.518429918794682
6,DELL,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.571086129249698
7,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.596434713093407
8,Others,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,10.757732653438401
9,ASUS,Windows,DDR4,16,AMD,AMD,1,14.0,SSD,512,10.714239975170337
10,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.001966498981226
11,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.563775741214291
12,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.403990075979044
13,ASUS,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.87787736679393
14,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.308685958415747
15,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913321397334
16,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.778768772309705
17,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.736222747303128
18,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.778768772309705
19,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.36199791859654
20,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.396301757033692
21,HP,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.62113220469646
