,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
0,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
1,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
2,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,32990
3,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,49990
4,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,49990
5,HP,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,36990
6,DELL,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,38990
7,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
8,Others,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,46991
9,ASUS,Windows,DDR4,16,AMD,AMD,1,14.0,SSD,512,44991
10,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,59991
11,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
12,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,32990
13,ASUS,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,52990
14,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,29991
15,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
16,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,47990
17,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,45991
18,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,47990
19,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
20,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,88991
21,HP,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,40991
22,Lenovo,Others,Others,4,Intel,Intel,1,15.6,HDD,256,19491
23,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
24,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,65991
25,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
