,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
0,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
1,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
2,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.40399
3,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.819598
4,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.819598
5,HP,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,10.51843
6,DELL,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.571086
7,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
8,Others,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,10.757711
9,ASUS,Windows,DDR4,16,AMD,AMD,1,14.0,SSD,512,10.714218
10,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.00195
11,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
12,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.40399
13,ASUS,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.877877
14,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.308653
15,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
16,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.778769
17,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.736201
18,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.778769
19,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
20,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.396291
21,HP,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.621108
22,Lenovo,Others,Others,4,Intel,Intel,1,15.6,HDD,256,9.877708
